"","child","parent","length"
"688","DOID:13912","DOID:7",9
"689","DOID:13913","DOID:7",4
"690","DOID:13910","DOID:7",9
"691","DOID:13911","DOID:7",9
"692","DOID:8243","DOID:14566",7
"693","DOID:8930","DOID:14566",6
"694","DOID:8937","DOID:14566",7
"695","DOID:8936","DOID:7",4
"696","DOID:13918","DOID:150",3
"697","DOID:13919","DOID:7",8
"698","DOID:10935","DOID:150",2
"699","DOID:10934","DOID:150",3
"700","DOID:10937","DOID:150",2
"701","DOID:10936","DOID:150",3
"702","DOID:10931","DOID:150",3
"703","DOID:10930","DOID:150",3
"704","DOID:10933","DOID:150",4
"705","DOID:10932","DOID:150",3
"706","DOID:7411","DOID:14566",8
"707","DOID:583","DOID:7",6
"708","DOID:7941","DOID:14566",8
"709","DOID:10939","DOID:150",3
"710","DOID:10938","DOID:150",3
"711","DOID:7945","DOID:14566",8
"712","DOID:582","DOID:7",5
"713","DOID:11049","DOID:7",5
"714","DOID:11044","DOID:0080015",2
"715","DOID:11042","DOID:225",2
"716","DOID:6788","DOID:14566",8
"717","DOID:6789","DOID:14566",8
"718","DOID:6098","DOID:14566",9
"719","DOID:6090","DOID:14566",9
"720","DOID:5207","DOID:14566",8
"721","DOID:6898","DOID:14566",10
"722","DOID:6899","DOID:14566",8
"723","DOID:1328","DOID:0050117",3
"724","DOID:1325","DOID:14566",5
"725","DOID:1324","DOID:14566",5
"726","DOID:192","DOID:14566",5
"727","DOID:193","DOID:14566",4
"728","DOID:0050641","DOID:7",7
"729","DOID:0050136","DOID:0050117",3
"730","DOID:0050643","DOID:7",4
"731","DOID:0050134","DOID:0050117",3
"732","DOID:0050133","DOID:0050117",3
"733","DOID:0050132","DOID:7",4
"734","DOID:0050647","DOID:630",4
"735","DOID:0050130","DOID:7",4
"736","DOID:0050649","DOID:0014667",4
"737","DOID:0050648","DOID:7",7
"738","DOID:0050138","DOID:7",6
"739","DOID:5665","DOID:14566",7
"740","DOID:5842","DOID:14566",9
"741","DOID:5667","DOID:14566",7
"742","DOID:5660","DOID:14566",5
